inlet_id,drain_node_id,road_coupling_eligible,surface_mapping_selected,surface_mapping_status,surface_row,surface_col
RN_INLET_00243,RN_DNODE_00536,1,1,mapped,98,130
RN_INLET_00245,RN_DNODE_00540,1,1,mapped,99,131
RN_INLET_00247,RN_DNODE_00544,1,1,mapped,100,132
RN_INLET_00248,RN_DNODE_00546,1,1,mapped,87,132
RN_INLET_00249,RN_DNODE_00547,1,1,mapped,100,133
RN_INLET_00250,RN_DNODE_00548,1,1,mapped,89,133
RN_INLET_00251,RN_DNODE_00549,1,1,mapped,100,134
RN_INLET_00253,RN_DNODE_00551,1,1,mapped,101,135
RN_INLET_00255,RN_DNODE_00553,1,1,mapped,101,136
RN_INLET_00257,RN_DNODE_00555,1,0,excluded_outside_runoff_aoi,102,137
RN_INLET_00258,RN_DNODE_00556,1,1,mapped,88,137
