interval_id,scenario_id,start_min,end_min,duration_s,inlet_id,drain_node_id,drain_id,road_id,surface_row,surface_col,arrival_volume_m3,potential_inflow_q_m3s,entry_capacity_m3s,entry_capacity_source,entry_capacity_is_observed,coupling_method
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00058,RN_DNODE_00115,RN_DRAIN_00090,RN_ROAD_00572,78,85,50.11874961853027,0.027843749788072376,2.0143420369081957,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00064,RN_DNODE_00135,RN_DRAIN_00201,RN_ROAD_00288,86,87,30.318750381469727,0.016843750211927626,0.14808812947220454,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00067,RN_DNODE_00152,RN_DRAIN_00189,RN_ROAD_00289,85,88,10.518750190734863,0.005843750105963813,0.2781184424317617,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00068,RN_DNODE_00157,RN_DRAIN_00507,RN_ROAD_00216,111,89,42.69375038146973,0.023718750211927625,0.3596921468391413,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00070,RN_DNODE_00171,RN_DRAIN_00190,RN_ROAD_00289,85,89,10.518750190734863,0.005843750105963813,0.21513777926228358,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00071,RN_DNODE_00180,RN_DRAIN_00516,RN_ROAD_00213,112,90,115.08749961853027,0.06393749978807238,0.03484430030503481,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00072,RN_DNODE_00181,RN_DRAIN_00487,RN_ROAD_00233,109,90,19.800000190734863,0.011000000105963813,1.2167317531808846,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00074,RN_DNODE_00197,RN_DRAIN_00191,RN_ROAD_00289,85,90,3127.78125667572,1.7376562537087334,0.6928742113147971,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00076,RN_DNODE_00206,RN_DRAIN_00517,RN_ROAD_00213,112,91,41.45625019073486,0.023031250105963814,0.03485428291526828,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00077,RN_DNODE_00207,RN_DRAIN_00488,RN_ROAD_00233,109,91,61.25625038146973,0.03403125021192763,0.9868943284982327,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00079,RN_DNODE_00225,RN_DRAIN_00192,RN_ROAD_00289,85,91,14.231250286102295,0.00790625015894572,0.02637752433631995,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00081,RN_DNODE_00233,RN_DRAIN_00518,RN_ROAD_00213,112,92,43.93124961853027,0.024406249788072373,0.14235556684174894,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00082,RN_DNODE_00234,RN_DRAIN_00489,RN_ROAD_00233,109,92,112.61249923706055,0.06256249957614475,0.5313346491245258,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_INLET_00084,RN_DNODE_00254,RN_DRAIN_00519,RN_ROAD_00213,112,93,10.518750190734863,0.005843750105963813,0.16694910080064143,synthetic_manning_scenario,0,first_eligible_inlet_on_d8_path
