interval_id,scenario_id,start_min,end_min,duration_s,drain_node_id,local_inlet_q_m3s,upstream_q_m3s,total_q_m3s,outgoing_drain_id,capacity_m3s,capacity_source,capacity_is_observed,conveyed_q_m3s,overflow_q_m3s,export_q_m3s,overflow_volume_m3
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00175,0.0,0.0,0.0,RN_DRAIN_00139,0.02637752433631995,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00001,0.0,0.0,0.0,RN_DRAIN_00148,0.23026234147550612,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00173,0.0,0.0,0.0,RN_DRAIN_00163,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00227,0.0,0.0,0.0,RN_DRAIN_00165,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00287,0.017531250317891437,0.0,0.017531250317891437,RN_DRAIN_00166,0.03484430030503481,synthetic_manning_scenario,0.0,0.017531250317891437,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00320,0.0,0.0,0.0,RN_DRAIN_00168,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00437,0.17118750148349338,0.0,0.17118750148349338,RN_DRAIN_00172,0.05158812602898853,synthetic_manning_scenario,0.0,0.05158812602898853,0.11959937545450484,0.0,215.27887581810873
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00071,0.11515625052981907,0.0,0.11515625052981907,RN_DRAIN_00174,0.14154681932172938,synthetic_manning_scenario,0.0,0.11515625052981907,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00226,0.0,0.0,0.0,RN_DRAIN_00180,0.03484430030503481,synthetic_manning_scenario,0.0,0.0,0.0,0.0,0.0
000_030,rajendra_nagar_heavy_rain_demo,0,30,1800,RN_DNODE_00319,0.017875000105963813,0.0,0.017875000105963813,RN_DRAIN_00182,0.03484430030503481,synthetic_manning_scenario,0.0,0.017875000105963813,0.0,0.0,0.0
