cell_id,start_min,end_min,runoff_m3
R077_C092,0,30,9.28125
R077_C093,0,30,9.28125
R077_C094,0,30,3.7125000953674316
R077_C095,0,30,3.7125000953674316
R077_C096,0,30,10.518750190734863
R077_C097,0,30,9.28125
R077_C098,0,30,11.137499809265137
R077_C099,0,30,3.7125000953674316
R077_C100,0,30,9.28125
R077_C101,0,30,3.7125000953674316
R077_C102,0,30,3.7125000953674316
R077_C103,0,30,3.7125000953674316
R077_C104,0,30,3.7125000953674316
R077_C105,0,30,9.28125
R077_C106,0,30,10.518750190734863
R077_C107,0,30,11.137499809265137
R077_C108,0,30,10.518750190734863
R077_C109,0,30,11.137499809265137
R077_C110,0,30,11.137499809265137
R077_C111,0,30,9.28125
R077_C112,0,30,10.518750190734863
R077_C113,0,30,10.518750190734863
R077_C114,0,30,10.518750190734863
R077_C115,0,30,10.518750190734863
R077_C116,0,30,10.518750190734863
R077_C117,0,30,10.518750190734863
R077_C118,0,30,10.518750190734863
R077_C119,0,30,9.28125
R077_C120,0,30,11.137499809265137
R077_C121,0,30,11.137499809265137
R077_C122,0,30,9.28125
R077_C123,0,30,11.137499809265137
R077_C124,0,30,9.28125
R077_C125,0,30,9.28125
R077_C126,0,30,10.518750190734863
R077_C127,0,30,9.28125
R077_C128,0,30,9.28125
R077_C129,0,30,9.28125
R078_C071,0,30,9.28125
R078_C072,0,30,11.137499809265137
R078_C073,0,30,9.28125
R078_C074,0,30,9.28125
R078_C075,0,30,9.28125
R078_C076,0,30,10.518750190734863
R078_C077,0,30,9.28125
R078_C078,0,30,9.28125
R078_C079,0,30,3.7125000953674316
R078_C080,0,30,3.7125000953674316
R078_C081,0,30,10.518750190734863
R078_C082,0,30,10.518750190734863
R078_C083,0,30,10.518750190734863
R078_C084,0,30,11.137499809265137
R078_C085,0,30,11.137499809265137
R078_C086,0,30,9.28125
R078_C087,0,30,9.28125
R078_C088,0,30,9.28125
R078_C089,0,30,10.518750190734863
R078_C090,0,30,9.28125
R078_C091,0,30,9.28125
R078_C092,0,30,9.28125
R078_C093,0,30,9.28125
R078_C094,0,30,3.7125000953674316
R078_C095,0,30,11.137499809265137
R078_C096,0,30,10.518750190734863
R078_C097,0,30,11.137499809265137
R078_C098,0,30,11.137499809265137
R078_C099,0,30,3.7125000953674316
R078_C100,0,30,9.28125
R078_C101,0,30,9.28125
R078_C102,0,30,9.28125
R078_C103,0,30,9.28125
R078_C104,0,30,11.137499809265137
R078_C105,0,30,9.28125
R078_C106,0,30,10.518750190734863
R078_C107,0,30,9.28125
R078_C108,0,30,10.518750190734863
R078_C109,0,30,11.137499809265137
R078_C110,0,30,10.518750190734863
R078_C111,0,30,9.28125
R078_C112,0,30,10.518750190734863
R078_C113,0,30,10.518750190734863
R078_C114,0,30,10.518750190734863
R078_C115,0,30,10.518750190734863
R078_C116,0,30,10.518750190734863
R078_C117,0,30,11.137499809265137
R078_C118,0,30,10.518750190734863
R078_C119,0,30,11.137499809265137
R078_C120,0,30,9.28125
R078_C121,0,30,10.518750190734863
R078_C122,0,30,11.137499809265137
R078_C123,0,30,9.28125
R078_C124,0,30,10.518750190734863
R078_C125,0,30,9.28125
R078_C126,0,30,10.518750190734863
R078_C127,0,30,10.518750190734863
R078_C128,0,30,9.28125
R078_C129,0,30,9.28125
R078_C130,0,30,9.28125
R079_C069,0,30,10.518750190734863
R079_C070,0,30,10.518750190734863
R079_C071,0,30,10.518750190734863
R079_C072,0,30,10.518750190734863
R079_C073,0,30,10.518750190734863
R079_C074,0,30,10.518750190734863
R079_C075,0,30,10.518750190734863
R079_C076,0,30,10.518750190734863
R079_C077,0,30,10.518750190734863
R079_C078,0,30,3.7125000953674316
R079_C079,0,30,3.7125000953674316
R079_C080,0,30,10.518750190734863
R079_C081,0,30,10.518750190734863
R079_C082,0,30,9.28125
R079_C083,0,30,11.137499809265137
R079_C084,0,30,11.137499809265137
R079_C085,0,30,9.28125
R079_C086,0,30,11.137499809265137
R079_C087,0,30,9.28125
R079_C088,0,30,9.28125
R079_C089,0,30,9.28125
R079_C090,0,30,9.28125
R079_C091,0,30,9.28125
R079_C092,0,30,9.28125
R079_C093,0,30,3.7125000953674316
R079_C094,0,30,10.518750190734863
R079_C095,0,30,10.518750190734863
R079_C096,0,30,10.518750190734863
R079_C097,0,30,10.518750190734863
R079_C098,0,30,10.518750190734863
R079_C099,0,30,3.7125000953674316
R079_C100,0,30,3.7125000953674316
R079_C101,0,30,9.28125
R079_C102,0,30,9.28125
R079_C103,0,30,9.28125
R079_C104,0,30,11.137499809265137
R079_C105,0,30,9.28125
R079_C106,0,30,10.518750190734863
R079_C107,0,30,11.137499809265137
R079_C108,0,30,10.518750190734863
R079_C109,0,30,11.137499809265137
R079_C110,0,30,10.518750190734863
R079_C111,0,30,10.518750190734863
R079_C112,0,30,10.518750190734863
R079_C113,0,30,9.28125
R079_C114,0,30,9.28125
R079_C115,0,30,9.28125
R079_C116,0,30,11.137499809265137
R079_C117,0,30,11.137499809265137
R079_C118,0,30,10.518750190734863
R079_C119,0,30,10.518750190734863
R079_C120,0,30,10.518750190734863
R079_C121,0,30,10.518750190734863
R079_C122,0,30,10.518750190734863
R079_C123,0,30,10.518750190734863
R079_C124,0,30,10.518750190734863
R079_C125,0,30,11.137499809265137
R079_C126,0,30,10.518750190734863
R079_C127,0,30,10.518750190734863
R079_C128,0,30,9.28125
R079_C129,0,30,9.28125
R079_C130,0,30,9.28125
R079_C131,0,30,9.28125
R079_C132,0,30,9.28125
R080_C068,0,30,10.518750190734863
R080_C069,0,30,10.518750190734863
R080_C070,0,30,9.28125
R080_C071,0,30,11.137499809265137
R080_C072,0,30,11.137499809265137
R080_C073,0,30,9.28125
R080_C074,0,30,9.28125
R080_C075,0,30,9.28125
R080_C076,0,30,10.518750190734863
R080_C077,0,30,10.518750190734863
R080_C078,0,30,9.28125
R080_C079,0,30,10.518750190734863
R080_C080,0,30,10.518750190734863
R080_C081,0,30,10.518750190734863
R080_C082,0,30,9.28125
R080_C083,0,30,10.518750190734863
R080_C084,0,30,10.518750190734863
R080_C085,0,30,9.28125
R080_C086,0,30,11.137499809265137
R080_C087,0,30,9.28125
R080_C088,0,30,9.28125
R080_C089,0,30,9.28125
R080_C090,0,30,9.28125
R080_C091,0,30,9.28125
R080_C092,0,30,9.28125
R080_C093,0,30,3.7125000953674316
R080_C094,0,30,11.137499809265137
R080_C095,0,30,10.518750190734863
R080_C096,0,30,10.518750190734863
R080_C097,0,30,10.518750190734863
R080_C098,0,30,10.518750190734863
R080_C099,0,30,3.7125000953674316
R080_C100,0,30,11.137499809265137
R080_C101,0,30,11.137499809265137
R080_C102,0,30,9.28125
R080_C103,0,30,9.28125
R080_C104,0,30,9.28125
R080_C105,0,30,9.28125
R080_C106,0,30,10.518750190734863
R080_C107,0,30,10.518750190734863
R080_C108,0,30,10.518750190734863
R080_C109,0,30,10.518750190734863
R080_C110,0,30,10.518750190734863
R080_C111,0,30,10.518750190734863
R080_C112,0,30,11.137499809265137
R080_C113,0,30,9.28125
R080_C114,0,30,11.137499809265137
R080_C115,0,30,9.28125
R080_C116,0,30,9.28125
R080_C117,0,30,10.518750190734863
R080_C118,0,30,11.137499809265137
R080_C119,0,30,10.518750190734863
R080_C120,0,30,10.518750190734863
R080_C121,0,30,9.28125
R080_C122,0,30,10.518750190734863
R080_C123,0,30,11.137499809265137
R080_C124,0,30,9.28125
R080_C125,0,30,9.28125
