interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m,flood_risk,flood_risk_rank,risk_policy,is_passable,passability_status,passability_policy
150_180,150,180,RN_ROAD_00505,RN_NODE_00036,RN_NODE_00023,0,RN_ROAD_00505,RN_ROAD_00505,residential,,54.02351430842665,road_line_intersected_raster_cells_all_touched,mapped,3,0.0547283664345741,0.0419930517673492,0.0522618487477302,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00509,RN_NODE_00036,RN_NODE_00034,0,RN_ROAD_00509,RN_ROAD_00509,residential,,110.59063402340144,road_line_intersected_raster_cells_all_touched,mapped,5,0.0445485413074493,0.029832499101758,0.0416289538145065,1.0,0.8,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00504,RN_NODE_00017,RN_NODE_00016,0,RN_ROAD_00504,RN_ROAD_00504,tertiary,['Imambhai Shekh Path'],7.192496022473638,road_line_intersected_raster_cells_all_touched,mapped,2,0.0184421427547931,0.0122901059221476,0.017211735388264,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00506,RN_NODE_00017,RN_NODE_00020,0,RN_ROAD_00506,RN_ROAD_00506,tertiary,['Gulwani Maharaj Path'],32.841819270007306,road_line_intersected_raster_cells_all_touched,mapped,3,0.0423957780003547,0.0223253299482166,0.0376050509512424,1.0,0.3333333333333333,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00507,RN_NODE_00016,RN_NODE_00019,0,RN_ROAD_00507,RN_ROAD_00507,tertiary,['Gulwani Maharaj Path'],31.00075468075208,road_line_intersected_raster_cells_all_touched,mapped,2,0.0423957780003547,0.0304189603775739,0.0400004144757986,1.0,0.5,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00503,RN_NODE_00004,RN_NODE_00003,0,RN_ROAD_00503,RN_ROAD_00503,residential,,32.28406437020715,road_line_intersected_raster_cells_all_touched,mapped,2,0.0100880954414606,0.0062963675009086,0.0093297498533502,1.0,0.0,0.0,0.0,minimal,0,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00511,RN_NODE_00023,RN_NODE_00020,0,RN_ROAD_00511,RN_ROAD_00511,tertiary,['Gulwani Maharaj Path'],7.242539992536353,road_line_intersected_raster_cells_all_touched,mapped,1,0.0423957780003547,0.0423957780003547,0.0423957780003547,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00513,RN_NODE_00023,RN_NODE_00021,0,RN_ROAD_00513,RN_ROAD_00513,residential,,6.983165191134959,road_line_intersected_raster_cells_all_touched,mapped,1,0.0423957780003547,0.0423957780003547,0.0423957780003547,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00514,RN_NODE_00023,RN_NODE_00034,0,RN_ROAD_00514,RN_ROAD_00514,tertiary,['Gulwani Maharaj Path'],34.96737715662887,road_line_intersected_raster_cells_all_touched,mapped,3,0.0423957780003547,0.0261997316653529,0.0382266033440828,1.0,0.6666666666666666,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00510,RN_NODE_00020,RN_NODE_00019,0,RN_ROAD_00510,RN_ROAD_00510,residential,,6.983467125765223,road_line_intersected_raster_cells_all_touched,mapped,1,0.0423957780003547,0.0423957780003547,0.0423957780003547,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00512,RN_NODE_00019,RN_NODE_00021,0,RN_ROAD_00512,RN_ROAD_00512,tertiary,['Gulwani Maharaj Path'],7.227252123885603,road_line_intersected_raster_cells_all_touched,mapped,1,0.0423957780003547,0.0423957780003547,0.0423957780003547,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00517,RN_NODE_00019,RN_NODE_00018,0,RN_ROAD_00517,RN_ROAD_00517,residential,,64.14110905468871,road_line_intersected_raster_cells_all_touched,mapped,4,0.0423957780003547,0.020968479802832,0.0352096874266862,1.0,0.25,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
150_180,150,180,RN_ROAD_00516,RN_NODE_00034,RN_NODE_00027,0,RN_ROAD_00516,RN_ROAD_00516,residential,,7.010767954611743,road_line_intersected_raster_cells_all_touched,mapped,1,0.021549904718995,0.021549904718995,0.021549904718995,1.0,1.0,0.0,0.0,low,1,prototype_depth_band_v1,1,passable,prototype_passability_v1
