interval_id,start_min,end_min,edge_id,graph_u,graph_v,graph_key,road_id,source_road_id,road_class,name,length_m,sampling_method,sampling_status,sample_cell_count,max_depth_m,mean_depth_m,p90_depth_m,fraction_gt_0m,fraction_gt_0_02m,fraction_gt_0_10m,fraction_gt_0_30m
000_030,0,30,RN_ROAD_00019,RN_NODE_00279,RN_NODE_00284,0,RN_ROAD_00019,RN_ROAD_00019,residential,,15.457018790921675,road_line_intersected_raster_cells_all_touched,mapped,1,0.0033844998106360435,0.0033844998106360435,0.0033844998106360435,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00020,RN_NODE_00279,RN_NODE_00265,0,RN_ROAD_00020,RN_ROAD_00020,residential,,51.109121332944376,road_line_intersected_raster_cells_all_touched,mapped,3,0.025563107803463936,0.01586263347417116,0.02417854480445385,1.0,0.3333333333333333,0.0,0.0
000_030,0,30,RN_ROAD_00042,RN_NODE_00279,RN_NODE_00280,0,RN_ROAD_00042,RN_ROAD_00042,residential,,12.671054645406425,road_line_intersected_raster_cells_all_touched,mapped,1,0.0033844998106360435,0.0033844998106360435,0.0033844998106360435,1.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00044,RN_NODE_00265,RN_NODE_00267,0,RN_ROAD_00044,RN_ROAD_00044,residential,,78.53311568005444,road_line_intersected_raster_cells_all_touched,mapped,3,0.025563107803463936,0.010459327895659953,0.02146892221644521,1.0,0.3333333333333333,0.0,0.0
000_030,0,30,RN_ROAD_00021,RN_NODE_00337,RN_NODE_00336,0,RN_ROAD_00021,RN_ROAD_00021,residential,,4.010574873213283,road_line_intersected_raster_cells_all_touched,outside_valid_flood_grid,0,,,,,,,
000_030,0,30,RN_ROAD_00022,RN_NODE_00337,RN_NODE_00338,0,RN_ROAD_00022,RN_ROAD_00022,residential,,3.5777701642730535,road_line_intersected_raster_cells_all_touched,outside_valid_flood_grid,0,,,,,,,
000_030,0,30,RN_ROAD_00023,RN_NODE_00337,RN_NODE_00349,0,RN_ROAD_00023,RN_ROAD_00023,residential,,59.620737404387555,road_line_intersected_raster_cells_all_touched,mapped,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00101,RN_NODE_00349,RN_NODE_00357,0,RN_ROAD_00101,RN_ROAD_00101,residential,,47.76723768710115,road_line_intersected_raster_cells_all_touched,mapped,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00103,RN_NODE_00349,RN_NODE_00451,0,RN_ROAD_00103,RN_ROAD_00103,residential,,393.37092434710667,road_line_intersected_raster_cells_all_touched,mapped,19,3.819002358795842e-06,2.010001241471496e-07,0.0,0.05263157894736842,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00025,RN_NODE_00366,RN_NODE_00321,0,RN_ROAD_00025,RN_ROAD_00025,living_street,,160.56974852956768,road_line_intersected_raster_cells_all_touched,mapped,7,0.02307857573032379,0.007171017130271399,0.015640677697956566,1.0,0.14285714285714285,0.0,0.0
000_030,0,30,RN_ROAD_00028,RN_NODE_00321,RN_NODE_00311,0,RN_ROAD_00028,RN_ROAD_00028,primary,['Sinhagad Road'],53.368993155301965,road_line_intersected_raster_cells_all_touched,mapped,4,0.03378748521208763,0.025018754182383418,0.03308942802250385,1.0,0.75,0.0,0.0
000_030,0,30,RN_ROAD_00105,RN_NODE_00321,RN_NODE_00403,0,RN_ROAD_00105,RN_ROAD_00105,primary,['Sinhagad Road'],260.06086779730686,road_line_intersected_raster_cells_all_touched,mapped,13,0.02307857573032379,0.005006769101153343,0.0106794273480773,1.0,0.07692307692307693,0.0,0.0
000_030,0,30,RN_ROAD_00030,RN_NODE_00306,RN_NODE_00317,0,RN_ROAD_00030,RN_ROAD_00030,residential,,35.17916299023046,road_line_intersected_raster_cells_all_touched,mapped,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00081,RN_NODE_00306,RN_NODE_00305,0,RN_ROAD_00081,RN_ROAD_00081,tertiary,,66.4260344158254,road_line_intersected_raster_cells_all_touched,mapped,3,3.9368414945784025e-06,1.3150341707420428e-06,3.1511253991922673e-06,0.6666666666666666,0.0,0.0,0.0
000_030,0,30,RN_ROAD_00037,RN_NODE_00208,RN_NODE_00190,0,RN_ROAD_00037,RN_ROAD_00037,residential,,36.35525499430467,road_line_intersected_raster_cells_all_touched,mapped,2,0.022047149017453194,0.01480344426818192,0.02059840806759894,1.0,0.5,0.0,0.0
